iter	Passed	Remaining
808	978	230
809	978	229
810	979	228
811	980	227
812	981	225
813	982	224
814	983	223
815	984	222
816	985	220
817	986	219
818	987	218
819	988	217
820	989	215
821	990	214
822	991	213
823	992	211
824	993	210
825	994	209
826	994	208
827	995	206
828	997	205
829	997	204
830	998	203
831	999	201
832	1000	200
833	1001	199
834	1002	198
835	1003	196
836	1004	195
837	1005	194
838	1006	193
839	1006	191
840	1007	190
841	1008	189
842	1010	188
843	1011	186
844	1012	185
845	1013	184
846	1014	183
847	1015	181
848	1016	180
849	1018	179
850	1019	178
851	1020	177
852	1021	176
853	1022	174
854	1023	173
855	1024	172
856	1025	171
857	1026	169
858	1027	168
859	1028	167
860	1029	166
861	1030	164
862	1031	163
863	1032	162
864	1033	161
865	1034	160
866	1035	158
867	1035	157
868	1036	156
869	1037	155
870	1038	153
871	1039	152
872	1041	151
873	1041	150
874	1042	148
875	1043	147
876	1044	146
877	1045	145
878	1046	144
879	1047	142
880	1048	141
881	1049	140
882	1050	139
883	1051	137
884	1052	136
885	1053	135
886	1055	134
887	1056	133
888	1057	132
889	1058	130
890	1059	129
891	1060	128
892	1062	127
893	1063	126
894	1064	124
895	1065	123
896	1066	122
897	1066	121
898	1068	120
899	1069	118
900	1070	117
901	1071	116
902	1072	115
903	1073	113
904	1073	112
905	1074	111
906	1075	110
907	1077	109
908	1078	107
909	1079	106
910	1080	105
911	1080	104
912	1081	103
913	1082	101
914	1084	100
915	1085	99
916	1086	98
917	1087	97
918	1088	95
919	1088	94
920	1089	93
921	1090	92
922	1091	91
923	1092	89
924	1093	88
925	1094	87
926	1095	86
927	1096	85
928	1097	83
929	1098	82
930	1099	81
931	1101	80
932	1102	79
933	1103	77
934	1104	76
935	1105	75
936	1106	74
937	1107	73
938	1108	71
939	1109	70
940	1109	69
941	1110	68
942	1111	67
943	1112	65
944	1113	64
945	1114	63
946	1115	62
947	1115	61
948	1116	60
949	1117	58
950	1118	57
951	1119	56
952	1120	55
953	1121	54
954	1121	52
955	1122	51
956	1123	50
957	1124	49
958	1125	48
959	1125	46
960	1126	45
961	1127	44
962	1128	43
963	1129	42
964	1130	40
965	1131	39
966	1131	38
967	1132	37
968	1133	36
969	1134	35
970	1134	33
971	1135	32
972	1136	31
973	1137	30
974	1138	29
975	1138	28
976	1139	26
977	1140	25
978	1141	24
979	1141	23
980	1142	22
981	1143	20
982	1144	19
983	1145	18
984	1146	17
985	1147	16
986	1147	15
987	1148	13
988	1149	12
989	1150	11
990	1151	10
991	1152	9
992	1152	8
993	1153	6
994	1154	5
995	1155	4
996	1155	3
997	1156	2
998	1157	1
999	1158	0
